% 3mTCM source: The Federal Reserve Bank of St. Louis
Date		sp500		3mTCM
Jan-94		0.013890398		2.98
Feb-94		-0.013248439		3.25
Mar-94		-0.020336219		3.5
Apr-94		0.00497903		3.68
May-94		0.005350915		4.14
Jun-94		-0.011793794		4.14
Jul-94		0.013464963		4.33
Aug-94		0.016029437		4.48
Sep-94		-0.011832502		4.62
Oct-94		0.008955034		4.95
Nov-94		-0.017504713		5.29
Dec-94		0.005308871		5.6
Jan-95		0.0104177		5.71
Feb-95		0.015390837		5.77
Mar-95		0.011709651		5.73
Apr-95		0.011976341		5.65
May-95		0.015490405		5.67
Jun-95		0.009144228		5.47
Jul-95		0.01358544		5.42
Aug-95		-0.000139105		5.4
Sep-95		0.017074065		5.28
Oct-95		-0.00216792		5.28
Nov-95		0.017471176		5.36
Dec-95		0.007510463		5.14
Jan-96		0.013939415		5
Feb-96		0.003000895		4.83
Mar-96		0.003424579		4.96
Apr-96		0.005794377		4.95
May-96		0.009813387		5.02
Jun-96		0.000978966		5.09
Jul-96		-0.020336934		5.15
Aug-96		0.008094891		5.05
Sep-96		0.022924365		5.09
Oct-96		0.011190111		4.99
Nov-96		0.030751943		5.03
Dec-96		-0.009441556		4.91
Jan-97		0.025845146		5.03
Feb-97		0.002566701		5.01
Mar-97		-0.018912926		5.14
Apr-97		0.024652103		5.16
May-97		0.024722406		5.05
Jun-97		0.01847274		4.93
Jul-97		0.032677508		5.05
Aug-97		-0.025702792		5.14
Sep-97		0.022491685		4.95
Oct-97		-0.015237674		4.97
Nov-97		0.018944543		5.14
Dec-97		0.006778977		5.16
Jan-98		0.004385928		5.04
Feb-98		0.029566086		5.09
Mar-98		0.021166831		5.03
Apr-98		0.003924079		4.95
May-98		-0.008254046		5
Jun-98		0.016798682		4.98
Jul-98		-0.005074028		4.96
Aug-98		-0.068438761		4.9
Sep-98		0.026286238		4.61
Oct-98		0.033542043		3.96
Nov-98		0.024947643		4.41
Dec-98		0.023818241		4.39
Jan-99		0.017454656		4.34
Feb-99		-0.014251413		4.44
Mar-99		0.016529509		4.44
Apr-99		0.016173915		4.29
May-99		-0.010982207		4.5
Jun-99		0.023021186		4.57
Jul-99		-0.014145325		4.55
Aug-99		-0.002724667		4.72
Sep-99		-0.012580324		4.68
Oct-99		0.026345071		4.86
Nov-99		0.008200554		5.07
Dec-99		0.024421595		5.2
Jan-00		-0.022689638		5.32
Feb-00		-0.008821851		5.55
Mar-00		0.040095722		5.69
Apr-00		-0.013584722		5.66
May-00		-0.0096234		5.79
Jun-00		0.010271773		5.69
Jul-00		-0.007155546		5.96
Aug-00		0.025592174		6.09
Sep-00		-0.023871557		6
Oct-00		-0.002154876		6.11
Nov-00		-0.036244538		6.17
Dec-00		0.001756805		5.77
Jan-01		0.014787834		5.15
Feb-01		-0.042053208		4.88
Mar-01		-0.028819149		4.42
Apr-01		0.032140836		3.87
May-01		0.002205038		3.62
Jun-01		-0.011011168		3.49
Jul-01		-0.004689608		3.51
Aug-01		-0.028774444		3.36
Sep-01		-0.037026478		2.64
Oct-01		0.007790022		2.16
Nov-01		0.031479553		1.87
Dec-01		0.003276879		1.69
Jan-02		-0.006816848		1.65
Feb-02		-0.00911362		1.73
Mar-02		0.015669378		1.79
Apr-02		-0.027527618		1.72
May-02		-0.003962043		1.73
Jun-02		-0.032665174		1.7
Jul-02		-0.03574238		1.68
Aug-02		0.002114816		1.62
Sep-02		-0.050621872		1.63
Oct-02		0.036009276		1.58
Nov-02		0.024103598		1.23
Dec-02		-0.027025832		1.19
Jan-03		-0.012072298		1.17
Feb-03		-0.007448083		1.17
Mar-03		0.003614578		1.13
Apr-03		0.033843418		1.13
May-03		0.021560839		1.07
Jun-03		0.004889559		0.92
Jul-03		0.006989321		0.9
Aug-03		0.007693676		0.95
Sep-03		-0.005218583		0.94
Oct-03		0.023236609		0.92
Nov-03		0.003084892		0.93
Dec-03		0.021505785		0.9
Jan-04		0.007438979		0.88
Feb-04		0.005270207		0.93
Mar-04		-0.007163349		0.94
Apr-04		-0.007354079		0.94
May-04		0.005216322		1.02
Jun-04		0.007743119		1.27
Jul-04		-0.015153507		1.33
Aug-04		0.000992242		1.48
Sep-04		0.004047771		1.65
Oct-04		0.006044057		1.76
Nov-04		0.016446202		2.07
Dec-04		0.013872448		2.19
Jan-05		-0.011124778		2.33
Feb-05		0.008133004		2.54
Mar-05		-0.008383079		2.74
Apr-05		-0.008822049		2.78
May-05		0.012816996		2.84
Jun-05		-6.19684E-05		2.97
Jul-05		0.015346426		3.22
Aug-05		-0.004901216		3.44
Sep-05		0.003007449		3.42
Oct-05		-0.007773869		3.71
Nov-05		0.015018441		3.88
Dec-05		-0.000413818		3.89
Jan-06		0.010921621		4.24
Feb-06		0.000196733		4.43
Mar-06		0.004792324		4.51
Apr-06		0.005247308		4.6
May-06		-0.013638981		4.72
Jun-06		3.76118E-05		4.79
Jul-06		0.002203143		4.95
Aug-06		0.009142387		4.96
Sep-06		0.010540056		4.81
Oct-06		0.013472613		4.92
Nov-06		0.007093117		4.94
Dec-06		0.005444679		4.85
